,NodeID,cat,x,y
151,151.0,0.0,646281.0,2693841.0
152,152.0,0.0,651696.0,2694012.0
153,153.0,0.0,652465.0,2694297.0
154,154.0,0.0,644542.0,2694325.0
155,155.0,0.0,644542.0,2694326.0
156,156.0,0.0,650128.0,2694667.0
157,157.0,0.0,650128.0,2694668.0
158,158.0,0.0,643402.0,2694724.0
159,159.0,0.0,650185.0,2694724.0
160,160.0,0.0,643402.0,2694725.0
161,161.0,0.0,650185.0,2694725.0
162,162.0,0.0,653235.0,2695095.0
163,163.0,1.0,640780.0,2696520.0
164,164.0,1.0,642519.0,2697062.0
